"Component Ref ID"; "Pin Ref ID"; "Net Name"; "Mount"; "Side"; posX; posY
"U1"; "F5"; "DGND"; "SMD"; "TOP";24.1316; -69.5274
"U1"; "F4"; "VDDS_DDR"; "SMD"; "TOP";24.1316; -70.7974
"U1"; "F3"; "PRU1_30_8"; "SMD"; "TOP";24.1316; -72.0674
"U1"; "F2"; "PRU1_30_9"; "SMD"; "TOP";24.1316; -73.3374
"U1"; "F1"; "PRU1_30_10"; "SMD"; "TOP";24.1316; -74.6074
"U1"; "G16"; " N/C_00097"; "SMD"; "TOP";25.4016; -55.5574
"U1"; "G15"; " N/C_00095"; "SMD"; "TOP";25.4016; -56.8274
"U1"; "G14"; "NetR12_1"; "SMD"; "TOP";25.4016; -58.0974
"U1"; "G13"; "VDDS_PLL"; "SMD"; "TOP";25.4016; -59.3674
"U1"; "G12"; "DGND"; "SMD"; "TOP";25.4016; -60.6374
"U1"; "G11"; "SYS_VDD2_3P3V"; "SMD"; "TOP";25.4016; -61.9074
"U1"; "G10"; "SYS_VDD_1P8V"; "SMD"; "TOP";25.4016; -63.1774
"U1"; "G9"; "SYS_VDD3_3P3V"; "SMD"; "TOP";25.4016; -64.4474
"U1"; "G8"; "SYS_VDD3_3P3V"; "SMD"; "TOP";25.4016; -65.7174
"U1"; "G7"; "SYS_VDD1_3P3V"; "SMD"; "TOP";25.4016; -66.9874
"U1"; "G6"; "SYS_VDD1_3P3V"; "SMD"; "TOP";25.4016; -68.2574
"U1"; "G5"; "DGND"; "SMD"; "TOP";25.4016; -69.5274
"U1"; "G4"; "VDD_CORE"; "SMD"; "TOP";25.4016; -70.7974
"U1"; "G3"; "BOOT0"; "SMD"; "TOP";25.4016; -72.0674
"U1"; "G2"; "BOOT1"; "SMD"; "TOP";25.4016; -73.3374
"U1"; "G1"; "BOOT2"; "SMD"; "TOP";25.4016; -74.6074
"U1"; "H16"; "ENET_LED1/SPEED"; "SMD"; "TOP";26.6716; -55.5574
"U1"; "H15"; "NetR7_1"; "SMD"; "TOP";26.6716; -56.8274
"U1"; "H14"; "NetR11_1"; "SMD"; "TOP";26.6716; -58.0974
"U1"; "H13"; "DGND"; "SMD"; "TOP";26.6716; -59.3674
"U1"; "H12"; "DGND"; "SMD"; "TOP";26.6716; -60.6374
"U1"; "H11"; "SYS_VDD_1P8V"; "SMD"; "TOP";26.6716; -61.9074
"U1"; "H10"; "SYS_VDD_1P8V"; "SMD"; "TOP";26.6716; -63.1774
"U1"; "H9"; "SYS_VDD3_3P3V"; "SMD"; "TOP";26.6716; -64.4474
"U1"; "H8"; "SYS_VDD3_3P3V"; "SMD"; "TOP";26.6716; -65.7174
"U1"; "H7"; "SYS_VDD3_3P3V"; "SMD"; "TOP";26.6716; -66.9874
"U1"; "H6"; " N/C_00082"; "SMD"; "TOP";26.6716; -68.2574
"U1"; "H5"; "DGND"; "SMD"; "TOP";26.6716; -69.5274
"U1"; "H4"; "DGND"; "SMD"; "TOP";26.6716; -70.7974
"U1"; "H3"; "BOOT3"; "SMD"; "TOP";26.6716; -72.0674
"U1"; "H2"; "BOOT4"; "SMD"; "TOP";26.6716; -73.3374
"U1"; "H1"; "BOOT5"; "SMD"; "TOP";26.6716; -74.6074
"U1"; "J16"; "USB_OTG0_VBUS"; "SMD"; "TOP";27.9416; -55.5574
"U1"; "J15"; "USB_OTG0_ENB"; "SMD"; "TOP";27.9416; -56.8274
"U1"; "J14"; "RMII1_REFCLK"; "SMD"; "TOP";27.9416; -58.0974
"U1"; "J13"; "DGND"; "SMD"; "TOP";27.9416; -59.3674
"U1"; "J12"; "DGND"; "SMD"; "TOP";27.9416; -60.6374
"U1"; "J11"; "SYS_VDD_1P8V"; "SMD"; "TOP";27.9416; -61.9074
"U1"; "J10"; "SYS_VDD_1P8V"; "SMD"; "TOP";27.9416; -63.1774
"U1"; "J9"; "SYS_VDD3_3P3V"; "SMD"; "TOP";27.9416; -64.4474
"U1"; "J8"; "SYS_VDD3_3P3V"; "SMD"; "TOP";27.9416; -65.7174
"U1"; "J7"; "SYS_VDD3_3P3V"; "SMD"; "TOP";27.9416; -66.9874
"U1"; "J6"; " N/C_00083"; "SMD"; "TOP";27.9416; -68.2574
"U1"; "J5"; "DGND"; "SMD"; "TOP";27.9416; -69.5274
"U1"; "J4"; "DGND"; "SMD"; "TOP";27.9416; -70.7974
"U1"; "J3"; "BOOT6"; "SMD"; "TOP";27.9416; -72.0674
"U1"; "J2"; "BOOT7"; "SMD"; "TOP";27.9416; -73.3374
"U1"; "J1"; "BOOT8"; "SMD"; "TOP";27.9416; -74.6074
"U1"; "K16"; "USB_OTG0_FS_N"; "SMD"; "TOP";29.2116; -55.5574
"U1"; "K15"; "USB_OTG0_FS_P"; "SMD"; "TOP";29.2116; -56.8274
"U1"; "K14"; "USB_OTG0_FS_ID"; "SMD"; "TOP";29.2116; -58.0974
"U1"; "K13"; " N/C_00091"; "SMD"; "TOP";29.2116; -59.3674
"U1"; "K12"; "DGND"; "SMD"; "TOP";29.2116; -60.6374
"U1"; "K11"; "SYS_RTC_1P8V"; "SMD"; "TOP";29.2116; -61.9074
"U1"; "K10"; "SYS_VDD_1P8V"; "SMD"; "TOP";29.2116; -63.1774
"U1"; "K9"; "SYS_VDD3_3P3V"; "SMD"; "TOP";29.2116; -64.4474
"U1"; "K8"; "SYS_VDD3_3P3V"; "SMD"; "TOP";29.2116; -65.7174
"U1"; "K7"; "SYS_VOUT"; "SMD"; "TOP";29.2116; -66.9874
"U1"; "K6"; "SYS_VOUT"; "SMD"; "TOP";29.2116; -68.2574
"U1"; "K5"; "DGND"; "SMD"; "TOP";29.2116; -69.5274
"U1"; "K4"; " N/C_00077"; "SMD"; "TOP";29.2116; -70.7974
"U1"; "K3"; "BOOT9"; "SMD"; "TOP";29.2116; -72.0674
"U1"; "K2"; "BOOT10"; "SMD"; "TOP";29.2116; -73.3374
"U1"; "K1"; "BOOT11"; "SMD"; "TOP";29.2116; -74.6074
"U1"; "L16"; "USB_OTG1_FS_N"; "SMD"; "TOP";30.4816; -55.5574
"U1"; "L15"; "USB_OTG1_FS_P"; "SMD"; "TOP";30.4816; -56.8274
"U1"; "L14"; "USB_OTG1_FS_ID"; "SMD"; "TOP";30.4816; -58.0974
"U1"; "L13"; " N/C_00092"; "SMD"; "TOP";30.4816; -59.3674
"U1"; "L12"; "DGND"; "SMD"; "TOP";30.4816; -60.6374
